                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.9342,                 30.314,                 2.4896,                      0,                      0,                      0,                      0,                 5.2698,                 11.435,                 2.6288,              1.429e-05,              1.429e-05,              1.429e-05
                      2,                 5.0439,                 36.959,                 2.4472,                      0,                      0,                      0,                      0,                 5.3265,                 11.683,                 2.6538,             4.2264e-05,             4.2264e-05,             4.2264e-05
                      3,                  5.008,                  32.04,                 2.5552,                      0,                      0,                      0,                      0,                 5.3343,                 11.819,                 2.6443,             6.9429e-05,             6.9429e-05,             6.9429e-05
                      4,                  4.856,                 29.972,                 2.3569,                      0,                      0,                      0,                      0,                 4.5979,                 8.8768,                 2.1732,             9.5786e-05,             9.5786e-05,             9.5786e-05
                      5,                 4.2745,                 18.036,                 1.8358,                      0,                      0,                      0,                      0,                 3.8875,                 7.8127,                 1.7967,             0.00012133,             0.00012133,             0.00012133
                      6,                 3.8189,                 14.461,                 1.5675,                      0,                      0,                      0,                      0,                 3.1669,                 7.0453,                 1.4702,             0.00014607,             0.00014607,             0.00014607
                      7,                 3.3649,                 13.182,                 1.3765,                      0,                      0,                      0,                      0,                 3.2741,                 6.4521,                 1.3833,             0.00017001,             0.00017001,             0.00017001
                      8,                 2.9293,                 10.258,                 1.2797,                      0,                      0,                      0,                      0,                 3.0817,                 5.9164,                 1.2885,             0.00019313,             0.00019313,             0.00019313
                      9,                 2.7391,                 9.2473,                 1.2309,                      0,                      0,                      0,                      0,                  2.779,                 5.7207,                 1.2103,             0.00021544,             0.00021544,             0.00021544
                     10,                 2.7205,                 8.8154,                 1.1422,                      0,                      0,                      0,                      0,                 2.5749,                  5.377,                   1.15,             0.00023695,             0.00023695,             0.00023695
                     11,                 2.5198,                 8.6669,                 1.1432,                      0,                      0,                      0,                      0,                 2.4108,                 5.3039,                 1.0864,             0.00025765,             0.00025765,             0.00025765
                     12,                 2.2568,                 7.9233,                   1.04,                      0,                      0,                      0,                      0,                 2.2901,                 5.2411,                   1.04,             0.00027754,             0.00027754,             0.00027754
                     13,                 2.4981,                 8.3878,                 1.1058,                      0,                      0,                      0,                      0,                 2.1868,                 5.1631,                  1.027,             0.00029662,             0.00029662,             0.00029662
                     14,                  2.164,                  7.004,                 1.1107,                      0,                      0,                      0,                      0,                 2.1191,                 5.0526,                  1.008,             0.00031489,             0.00031489,             0.00031489
                     15,                 2.1916,                 6.7022,                 1.0729,                      0,                      0,                      0,                      0,                 2.0663,                 5.0487,                0.99898,             0.00033236,             0.00033236,             0.00033236
                     16,                 2.1861,                 6.4913,                 1.0613,                      0,                      0,                      0,                      0,                 1.9989,                 5.0898,                0.98469,             0.00034901,             0.00034901,             0.00034901
                     17,                 2.0421,                 5.4468,                0.98709,                      0,                      0,                      0,                      0,                  2.112,                 5.0754,                 1.0041,             0.00036486,             0.00036486,             0.00036486
                     18,                  2.182,                  6.625,                 1.1499,                      0,                      0,                      0,                      0,                 1.8705,                 4.9361,                0.97525,              0.0003799,              0.0003799,              0.0003799
                     19,                 2.0595,                 5.7745,                 1.0279,                      0,                      0,                      0,                      0,                 1.6684,                 4.7944,                0.95832,             0.00039413,             0.00039413,             0.00039413
                     20,                 2.0217,                 6.1449,                0.98438,                      0,                      0,                      0,                      0,                 1.7002,                  4.781,                0.96745,             0.00040755,             0.00040755,             0.00040755
                     21,                 1.7902,                 5.7764,                0.95667,                      0,                      0,                      0,                      0,                 1.8159,                 4.8772,                0.99364,             0.00042017,             0.00042017,             0.00042017
                     22,                 1.6673,                 5.9821,                0.96862,                      0,                      0,                      0,                      0,                 1.8217,                 4.8611,                0.99894,             0.00043197,             0.00043197,             0.00043197
                     23,                 1.7453,                 6.0729,                0.95066,                      0,                      0,                      0,                      0,                 1.9888,                 4.8916,                 1.0113,             0.00044297,             0.00044297,             0.00044297
                     24,                 1.7434,                 5.5747,                0.91601,                      0,                      0,                      0,                      0,                 2.0796,                 4.9119,                 1.0304,             0.00045316,             0.00045316,             0.00045316
