                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 5.1144,                  36.98,                 2.4414,                      0,                      0,                      0,                      0,                 5.2965,                 11.738,                 2.6418,              4.287e-05,              4.287e-05,              4.287e-05
                      2,                  4.866,                 27.406,                 2.6165,                      0,                      0,                      0,                      0,                 5.0552,                 9.8975,                 2.3749,             9.5079e-05,             9.5079e-05,             9.5079e-05
                      3,                 4.3061,                 22.506,                 1.9806,                      0,                      0,                      0,                      0,                 4.2621,                 8.2603,                 1.9441,             0.00014163,             0.00014163,             0.00014163
                      4,                 4.0319,                 18.247,                 1.7118,                      0,                      0,                      0,                      0,                 3.3671,                 7.1015,                  1.547,             0.00018252,             0.00018252,             0.00018252
                      5,                  3.666,                 13.134,                 1.5249,                      0,                      0,                      0,                      0,                  2.808,                  6.398,                 1.3685,             0.00021775,             0.00021775,             0.00021775
                      6,                 3.0523,                 12.394,                 1.2703,                      0,                      0,                      0,                      0,                 2.7934,                 6.2739,                 1.3322,             0.00024732,             0.00024732,             0.00024732
                      7,                 2.7729,                 9.9442,                 1.2046,                      0,                      0,                      0,                      0,                 2.5673,                 5.7853,                 1.2275,             0.00027124,             0.00027124,             0.00027124
                      8,                 2.5219,                 9.3563,                 1.1758,                      0,                      0,                      0,                      0,                 2.1934,                 5.4725,                 1.1485,             0.00028949,             0.00028949,             0.00028949
                      9,                  2.654,                 8.4911,                 1.1805,                      0,                      0,                      0,                      0,                 1.9548,                 5.2664,                 1.1022,             0.00030209,             0.00030209,             0.00030209
                     10,                 2.4324,                 8.1452,                 1.1385,                      0,                      0,                      0,                      0,                 1.9969,                 5.1542,                 1.0993,             0.00030903,             0.00030903,             0.00030903
                     11,                  2.394,                 11.225,                 1.1158,                      0,                      0,                      0,                      0,                 1.9659,                 5.0707,                 1.0813,             0.00031031,             0.00031031,             0.00031031
                     12,                 2.1431,                 10.148,                 1.0772,                      0,                      0,                      0,                      0,                 1.8662,                 5.0067,                 1.0574,             0.00030593,             0.00030593,             0.00030593
                     13,                 2.0687,                  11.52,                 1.0649,                      0,                      0,                      0,                      0,                 1.8123,                 5.0503,                 1.0451,             0.00029589,             0.00029589,             0.00029589
                     14,                 2.0157,                 9.2321,                 1.0514,                      0,                      0,                      0,                      0,                 1.8024,                 4.9951,                  1.041,             0.00028019,             0.00028019,             0.00028019
                     15,                 1.9532,                 9.5722,                 1.0951,                      0,                      0,                      0,                      0,                 1.7838,                 4.9335,                 1.0288,             0.00025883,             0.00025883,             0.00025883
                     16,                 2.0073,                 8.9064,                 1.0808,                      0,                      0,                      0,                      0,                 1.7838,                 4.9335,                 1.0288,             0.00023182,             0.00023182,             0.00023182
                     17,                 1.9758,                 8.5787,                 1.0642,                      0,                      0,                      0,                      0,                 1.6823,                 4.8994,                 1.0065,             0.00019915,             0.00019915,             0.00019915
                     18,                 2.0964,                 9.1995,                 1.0493,                      0,                      0,                      0,                      0,                 1.6523,                  4.821,                0.99107,             0.00016081,             0.00016081,             0.00016081
                     19,                 1.8801,                 8.7465,                 1.0334,                      0,                      0,                      0,                      0,                 1.6523,                  4.821,                0.99107,             0.00011682,             0.00011682,             0.00011682
                     20,                 2.0755,                 9.9864,                 1.0708,                      0,                      0,                      0,                      0,                 1.6719,                 4.7145,                0.98397,              6.717e-05,              6.717e-05,              6.717e-05
