                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1092,                 5.1525,                 1.0648,                0.05325,                0.45742,                0.06699,                0.05321,                0.66794,                 3.5241,                0.83158,             0.00014375,             0.00014375,             0.00014375
                      2,                0.76124,                 4.0388,                0.93893,                0.06465,                0.87062,                 0.2306,                0.19146,                0.62676,                 3.4773,                0.82563,             0.00029011,             0.00029011,             0.00029011
                      3,                0.70711,                 3.2316,                 0.9243,                0.03343,                0.84788,                0.42224,                0.35258,                0.64966,                 3.2098,                0.83814,             0.00043277,             0.00043277,             0.00043277
