                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1092,                 5.1525,                 1.0648,                0.05325,                0.45742,                0.06699,                0.05321,                0.66794,                 3.5241,                0.83158,             0.00014375,             0.00014375,             0.00014375
                      2,                0.76256,                 4.0445,                0.93968,                  0.064,                0.87295,                0.23382,                0.19131,                0.63436,                 3.4793,                0.82539,              0.0002896,              0.0002896,              0.0002896
                      3,                0.70407,                 3.2305,                0.92426,                0.02605,                0.82086,                0.42649,                0.35937,                0.63933,                 3.1973,                0.83558,              0.0004312,              0.0004312,              0.0004312
