epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,752.279,0.64695,2.16363,0.85964,0.52489,0.86953,0.72777,0.58284,0.80863,1.10311,0.99539,0.000600384,0.000600384,0.000600384
43,768.384,0.62815,1.95331,0.84198,0.51747,0.88486,0.75011,0.57368,0.91016,1.04083,1.01586,0.000580174,0.000580174,0.000580174
44,785.357,0.61337,1.96524,0.86657,0.5544,0.92582,0.75011,0.55357,0.98507,0.894,1.04042,0.000559964,0.000559964,0.000559964
45,802.557,0.64006,1.95843,0.85914,0.57761,1,0.75178,0.58669,0.88732,0.81133,1.02447,0.000539754,0.000539754,0.000539754
46,821.115,0.59692,1.958,0.86249,0.60357,0.96042,0.74262,0.58405,0.89209,0.83008,1.02103,0.000519544,0.000519544,0.000519544
47,839.822,0.59075,1.93982,0.84097,0.58471,0.93321,0.73735,0.58387,0.89247,0.84852,1.0024,0.000499333,0.000499333,0.000499333
48,858.955,0.60857,1.86301,0.88337,0.58445,0.92479,0.74535,0.59504,0.80458,0.81781,0.96354,0.000479123,0.000479123,0.000479123
49,873.822,0.58997,1.72514,0.83888,0.58904,0.91667,0.74547,0.60012,0.79485,0.78718,0.97327,0.000458913,0.000458913,0.000458913
50,889.754,0.57037,1.70249,0.83988,0.60081,0.91667,0.76278,0.60852,0.82226,0.74232,0.97598,0.000438703,0.000438703,0.000438703
51,905.645,0.53319,1.63,0.84269,0.5938,0.91667,0.75538,0.60498,0.82158,0.72714,0.98263,0.000418493,0.000418493,0.000418493
52,921.465,0.57849,1.74764,0.85044,0.59725,0.91667,0.74137,0.57352,0.85067,0.76747,1.02187,0.000398283,0.000398283,0.000398283
53,937.837,0.5208,1.66763,0.84932,0.59585,0.91667,0.73704,0.56065,0.89092,0.76514,1.03811,0.000378073,0.000378073,0.000378073
54,954.829,0.51376,1.56341,0.82441,0.64965,0.91667,0.79524,0.60521,0.89742,0.73024,1.02425,0.000357862,0.000357862,0.000357862
55,972.833,0.5382,1.72944,0.82934,0.64246,0.91667,0.79483,0.61634,0.86626,0.73038,1.00618,0.000337652,0.000337652,0.000337652
56,990.176,0.5431,1.63511,0.82235,0.68798,0.91667,0.92111,0.72604,0.85038,0.71729,0.99653,0.000317442,0.000317442,0.000317442
57,1007.85,0.5451,1.68467,0.84792,0.79287,0.91667,0.91825,0.7034,0.88008,0.7044,1.00823,0.000297232,0.000297232,0.000297232
58,1021.82,0.53088,1.5981,0.85185,0.83972,0.91667,0.9169,0.69741,0.91026,0.65749,1.01879,0.000277022,0.000277022,0.000277022
59,1037.12,0.47669,1.50248,0.82783,0.84458,0.91667,0.9169,0.6784,0.88704,0.63423,1.014,0.000256812,0.000256812,0.000256812
60,1053.26,0.50021,1.56783,0.8544,0.76598,0.91667,0.89774,0.66428,0.8724,0.63414,1.02203,0.000236602,0.000236602,0.000236602
61,1100.88,0.48113,2.00604,0.81081,0.76536,0.91667,0.85649,0.65298,0.87474,0.6525,1.02536,0.000216391,0.000216391,0.000216391
62,1118.56,0.44208,2.05968,0.83343,0.74178,0.91667,0.8555,0.65684,0.87931,0.68583,1.01602,0.000196181,0.000196181,0.000196181
63,1136.21,0.44634,2.02302,0.80765,0.75577,0.91667,0.8555,0.66469,0.86743,0.65938,1.00347,0.000175971,0.000175971,0.000175971
64,1154.3,0.42202,2.08868,0.80864,0.77983,0.91667,0.89771,0.724,0.81252,0.60246,0.98506,0.000155761,0.000155761,0.000155761
65,1168.19,0.40279,2.03178,0.80678,0.82914,0.91667,0.86108,0.70199,0.80561,0.59432,0.98512,0.000135551,0.000135551,0.000135551
66,1183.11,0.42155,2.05613,0.80144,0.84406,0.91667,0.86108,0.69197,0.79784,0.59194,0.99167,0.000115341,0.000115341,0.000115341
67,1198.32,0.39213,1.937,0.83355,0.85871,0.91659,0.8819,0.7031,0.79934,0.58331,0.99945,9.51306e-05,9.51306e-05,9.51306e-05
68,1214.19,0.39411,1.87021,0.79193,0.86523,0.91284,0.92401,0.73045,0.82674,0.57547,1.00933,7.49204e-05,7.49204e-05,7.49204e-05
69,1230.21,0.38108,1.88732,0.80637,0.86501,0.91206,0.92449,0.7244,0.83415,0.57182,1.01176,5.47103e-05,5.47103e-05,5.47103e-05
70,1247.45,0.37326,1.91779,0.79485,0.86363,0.90954,0.92449,0.73645,0.81566,0.56541,1.00702,3.45001e-05,3.45001e-05,3.45001e-05
