                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0913,                 5.0147,                 1.0538,                0.04307,                0.43491,                 0.0542,                0.04453,                 0.6618,                 3.5451,                0.82586,             0.00014375,             0.00014375,             0.00014375
                      2,                0.77717,                 3.9535,                0.93777,                0.04492,                0.77635,                0.15449,                0.12429,                0.64225,                 3.5244,                0.82446,              0.0002896,              0.0002896,              0.0002896
                      3,                0.73183,                  3.196,                 0.9244,                0.02315,                0.76459,                0.33634,                0.28244,                 0.6211,                 3.2793,                0.82843,              0.0004312,              0.0004312,              0.0004312
                      4,                0.70878,                  2.762,                0.91995,                0.77334,                0.22954,                0.58814,                0.48976,                0.63245,                 2.9167,                0.85152,             0.00056856,             0.00056856,             0.00056856
                      5,                0.67127,                  2.165,                0.90231,                 0.9931,                0.13958,                0.69893,                0.60018,                 0.5995,                 2.5572,                0.90519,             0.00058964,             0.00058964,             0.00058964
                      6,                0.63532,                 2.1512,                  0.904,                0.83569,                 0.7078,                0.89267,                 0.7743,                0.59117,                 1.5363,                0.91077,              0.0005808,              0.0005808,              0.0005808
                      7,                0.61301,                 1.7872,                0.89775,                0.89834,                0.91705,                0.94963,                0.82856,                0.57943,                 0.8933,                0.91361,             0.00057196,             0.00057196,             0.00057196
                      8,                0.59637,                 1.6472,                 0.8967,                0.88278,                  0.924,                0.97041,                0.85832,                0.55902,                0.74607,                0.88477,             0.00056313,             0.00056313,             0.00056313
                      9,                0.57075,                 1.4181,                0.89289,                0.94676,                0.96291,                0.98033,                0.86299,                0.52265,                0.60106,                0.87329,             0.00055429,             0.00055429,             0.00055429
                     10,                0.57065,                 1.4612,                0.88429,                0.92988,                0.96499,                0.97784,                 0.8598,                0.53044,                0.60328,                 0.8867,             0.00054545,             0.00054545,             0.00054545
                     11,                0.55875,                 1.2538,                0.87415,                0.92896,                0.96121,                 0.9555,                0.83877,                 0.5281,                0.65327,                0.89665,             0.00053661,             0.00053661,             0.00053661
                     12,                0.55742,                 1.2751,                0.87661,                0.96087,                0.95745,                0.98921,                 0.8767,                0.50107,                0.50339,                0.87142,             0.00052777,             0.00052777,             0.00052777
                     13,                0.54853,                 1.2381,                0.86965,                0.97092,                0.97448,                0.99095,                0.89011,                 0.4943,                0.47739,                0.87077,             0.00051893,             0.00051893,             0.00051893
                     14,                 0.5383,                 1.1829,                0.87906,                0.98187,                 0.9818,                0.99085,                0.88795,                 0.4851,                0.45599,                0.86881,             0.00051009,             0.00051009,             0.00051009
                     15,                0.53173,                 1.2536,                0.87945,                0.98013,                0.99059,                0.99124,                0.88249,                0.50191,                 0.4598,                0.86846,             0.00050125,             0.00050125,             0.00050125
                     16,                0.50318,                 1.0088,                0.85931,                0.96457,                0.97059,                0.98645,                0.88222,                0.54168,                0.44172,                0.87185,             0.00049241,             0.00049241,             0.00049241
                     17,                0.50713,                0.93126,                0.85112,                0.98221,                0.97497,                0.99022,                0.88972,                0.48335,                0.39671,                0.86136,             0.00048357,             0.00048357,             0.00048357
                     18,                0.48645,                0.89257,                0.85295,                 0.9836,                0.99018,                 0.9905,                0.90494,                0.45429,                0.38213,                0.85509,             0.00047473,             0.00047473,             0.00047473
                     19,                0.48536,                0.85491,                0.85336,                0.98143,                0.98806,                0.99201,                0.90668,                0.45178,                0.40247,                0.85093,             0.00046589,             0.00046589,             0.00046589
                     20,                0.48646,                0.89933,                0.85359,                0.98676,                 0.9903,                 0.9934,                0.89889,                0.47055,                0.39945,                0.85463,             0.00045705,             0.00045705,             0.00045705
                     21,                0.49575,                 0.8891,                0.85503,                0.98266,                0.99459,                0.99286,                 0.8947,                0.47939,                0.38782,                0.85688,             0.00044821,             0.00044821,             0.00044821
                     22,                0.50922,                0.82809,                0.85401,                0.98971,                0.99519,                0.99369,                0.88677,                0.48897,                0.37081,                0.86388,             0.00043937,             0.00043937,             0.00043937
                     23,                0.48512,                0.91324,                0.85685,                0.98795,                0.99537,                0.99312,                0.89755,                0.45651,                0.36371,                0.85867,             0.00043054,             0.00043054,             0.00043054
                     24,                0.48034,                0.87296,                0.85835,                 0.9912,                0.99537,                 0.9921,                0.88662,                0.51259,                0.36989,                0.87734,              0.0004217,              0.0004217,              0.0004217
                     25,                 0.4802,                0.80156,                0.85455,                0.99251,                0.98626,                0.99248,                0.90686,                0.43588,                0.34777,                0.84626,             0.00041286,             0.00041286,             0.00041286
                     26,                0.46775,                0.80251,                0.84463,                0.98316,                0.99537,                0.99216,                0.90614,                0.43698,                0.34863,                0.84829,             0.00040402,             0.00040402,             0.00040402
                     27,                0.46165,                0.84251,                0.84351,                0.98786,                0.99452,                0.99276,                0.90613,                0.44842,                0.35498,                0.85361,             0.00039518,             0.00039518,             0.00039518
                     28,                0.45436,                0.74194,                0.84913,                0.99172,                0.99397,                0.99274,                0.91188,                0.42209,                0.33755,                0.84106,             0.00038634,             0.00038634,             0.00038634
                     29,                0.44625,                0.72707,                0.84255,                0.99439,                0.99037,                0.99235,                0.90886,                0.45478,                0.33678,                  0.849,              0.0003775,              0.0003775,              0.0003775
                     30,                0.44413,                0.71137,                0.83729,                0.99282,                0.99338,                0.99229,                0.91137,                0.42626,                0.33329,                 0.8462,             0.00036866,             0.00036866,             0.00036866
                     31,                0.46485,                 0.7025,                0.85401,                0.99494,                0.99296,                0.99262,                0.91138,                0.42156,                0.32611,                0.84027,             0.00035982,             0.00035982,             0.00035982
                     32,                0.44325,                0.66462,                0.84152,                0.99186,                0.99204,                0.99232,                0.91682,                0.42343,                0.33557,                0.83925,             0.00035098,             0.00035098,             0.00035098
                     33,                0.43842,                0.67855,                0.84546,                0.99288,                 0.9932,                 0.9917,                0.91185,                0.42701,                0.35675,                0.84066,             0.00034214,             0.00034214,             0.00034214
                     34,                  0.435,                0.68934,                0.84865,                0.99624,                0.99342,                0.99187,                0.90666,                0.42277,                0.32774,                0.84472,              0.0003333,              0.0003333,              0.0003333
                     35,                0.44099,                0.66122,                0.84396,                0.99568,                0.99392,                0.99206,                0.91546,                0.42229,                0.32146,                0.84268,             0.00032446,             0.00032446,             0.00032446
                     36,                 0.4338,                0.67694,                0.84807,                0.99447,                0.99537,                0.99232,                0.90526,                0.43549,                0.32414,                0.84706,             0.00031562,             0.00031562,             0.00031562
                     37,                0.44168,                 0.6799,                0.84901,                0.99584,                0.99527,                0.99256,                0.91367,                0.42129,                0.31557,                0.83898,             0.00030679,             0.00030679,             0.00030679
                     38,                0.41179,                0.63561,                0.83352,                0.99625,                0.99441,                0.99358,                 0.9093,                 0.4307,                0.31203,                0.84412,             0.00029795,             0.00029795,             0.00029795
                     39,                 0.4296,                0.63207,                0.83808,                0.99587,                0.99529,                0.99344,                0.91934,                0.41337,                0.30219,                0.83974,             0.00028911,             0.00028911,             0.00028911
