                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.507,                 4.7133,                 1.0969,                      0,                      0,                      0,                      0,                 1.0122,                 4.2683,                0.91516,              6.875e-05,              6.875e-05,              6.875e-05
                      2,                  1.091,                 4.3737,                0.93282,                      0,                      0,                      0,                      0,                0.96975,                  4.252,                0.90426,              0.0001409,              0.0001409,              0.0001409
                      3,                0.99881,                 4.0861,                0.92497,                      0,                      0,                      0,                      0,                 1.0585,                 4.2588,                0.95278,             0.00021009,             0.00021009,             0.00021009
                      4,                 0.9291,                 3.6551,                0.89514,                      0,                      0,                      0,                      0,                0.99543,                 4.2433,                0.91463,              0.0002763,              0.0002763,              0.0002763
                      5,                0.91807,                 3.1932,                0.89858,                    0.5,                0.13636,                0.31817,                0.24018,                0.89366,                 4.2099,                0.91502,             0.00033955,             0.00033955,             0.00033955
                      6,                 0.9351,                  2.881,                0.89787,                0.01449,                0.09091,                0.04088,                0.02361,                 1.0098,                 4.1944,                0.91931,             0.00039982,             0.00039982,             0.00039982
                      7,                0.86572,                 2.3963,                   0.89,                0.00327,                0.04545,                0.00186,                0.00019,                0.97948,                 4.1029,                 0.9178,             0.00045712,             0.00045712,             0.00045712
                      8,                0.85466,                   2.19,                0.87741,                 0.0297,                0.47078,                0.20171,                0.11529,                 1.0461,                 3.8746,                0.91134,             0.00051146,             0.00051146,             0.00051146
                      9,                0.83449,                  2.121,                0.89003,                0.03972,                0.72078,                0.54543,                0.38386,                0.95764,                 3.7341,                0.88394,               0.000526,               0.000526,               0.000526
                     10,                0.81017,                 2.0002,                0.87713,                0.05832,                0.87338,                0.67074,                0.46727,                  1.111,                 3.6263,                0.91974,             0.00051363,             0.00051363,             0.00051363
                     11,                0.78896,                 1.7836,                0.85689,                0.05897,                      1,                0.89351,                0.64651,                 1.0911,                 3.1384,                0.91828,             0.00050125,             0.00050125,             0.00050125
                     12,                0.74488,                 1.6576,                0.85988,                0.04654,                      1,                 0.9488,                0.68088,                 1.1278,                 2.8594,                0.91514,             0.00048888,             0.00048888,             0.00048888
                     13,                0.75347,                 1.6486,                0.86425,                      1,                0.56486,                  0.958,                0.62317,                 1.2096,                 2.6602,                0.96732,              0.0004765,              0.0004765,              0.0004765
                     14,                0.74265,                 1.5252,                0.86101,                      1,                0.69638,                0.98399,                0.67807,                  1.108,                  2.231,                0.96177,             0.00046413,             0.00046413,             0.00046413
                     15,                0.75245,                 1.4806,                0.85421,                      1,                0.76812,                 0.9875,                 0.6516,                 1.1838,                 2.2587,                0.97258,             0.00045175,             0.00045175,             0.00045175
                     16,                0.71194,                 1.3543,                0.84952,                      1,                0.55421,                0.98115,                0.65092,                 1.1771,                 2.2491,                0.97183,             0.00043937,             0.00043937,             0.00043937
                     17,                0.70653,                 1.2974,                0.85874,                   0.99,                0.58753,                0.98808,                0.69841,                 1.1113,                 2.1892,                0.96606,               0.000427,               0.000427,               0.000427
                     18,                0.66455,                    1.2,                0.84549,                0.98062,                0.75048,                0.96358,                0.67836,                 1.0912,                 2.0035,                0.96159,             0.00041462,             0.00041462,             0.00041462
                     19,                0.68543,                 1.1984,                0.85376,                0.97544,                0.66836,                0.97891,                 0.7329,                 1.0134,                 2.0532,                0.97626,             0.00040225,             0.00040225,             0.00040225
                     20,                0.65181,                 1.0849,                0.84679,                0.97554,                 0.6568,                0.97162,                0.71201,                 1.0665,                 2.0689,                0.98969,             0.00038988,             0.00038988,             0.00038988
                     21,                0.69047,                 1.1335,                 0.8481,                0.97188,                0.87416,                  0.983,                0.68867,                 1.1177,                 2.0121,                 1.0088,              0.0003775,              0.0003775,              0.0003775
                     22,                0.67487,                 1.0576,                0.84349,                0.98438,                 0.8953,                0.99125,                0.72523,                0.95512,                 1.8198,                0.93487,             0.00036513,             0.00036513,             0.00036513
                     23,                0.66931,                 1.1269,                0.85264,                0.99216,                0.91182,                  0.995,                0.67642,                 1.0541,                 1.9177,                0.98407,             0.00035275,             0.00035275,             0.00035275
                     24,                 0.6596,                 1.0662,                0.85138,                0.98609,                0.72542,                  0.995,                0.70175,                 1.0516,                 2.0069,                 1.0507,             0.00034038,             0.00034038,             0.00034038
                     25,                 0.6218,                0.98228,                 0.8309,                0.98282,                0.77127,                  0.995,                0.70239,                  1.048,                 2.0846,                 1.0592,               0.000328,               0.000328,               0.000328
                     26,                0.61873,                0.96206,                0.83252,                0.99315,                0.88149,                  0.995,                 0.7238,                0.99446,                 1.7929,                0.96618,             0.00031562,             0.00031562,             0.00031562
                     27,                0.64679,                0.97201,                0.83993,                0.99791,                   0.88,                  0.995,                0.71141,                  1.023,                 1.9163,                0.97776,             0.00030325,             0.00030325,             0.00030325
                     28,                0.62953,                0.95348,                0.83583,                0.97635,                0.91564,                  0.995,                 0.7061,                 1.0556,                 1.6343,                0.99136,             0.00029088,             0.00029088,             0.00029088
                     29,                0.59885,                0.86451,                0.82766,                0.97099,                0.89992,                  0.995,                0.73646,                0.99528,                 1.5588,                0.99176,              0.0002785,              0.0002785,              0.0002785
                     30,                0.61966,                0.90132,                0.83907,                0.97714,                0.69949,                  0.995,                0.71204,                  1.072,                 1.8867,                 1.0851,             0.00026613,             0.00026613,             0.00026613
                     31,                0.58526,                0.89589,                0.82992,                0.97517,                0.68139,                0.98808,                 0.7198,                0.99261,                 1.7247,                 1.0028,             0.00025375,             0.00025375,             0.00025375
                     32,                0.60314,                0.88603,                0.83387,                0.97123,                0.77933,                0.98536,                  0.682,                 1.0386,                 1.6517,                0.98271,             0.00024137,             0.00024137,             0.00024137
                     33,                0.59686,                0.88636,                0.84202,                0.97133,                0.76872,                  0.983,                0.70768,                0.99664,                 1.5783,                0.97793,               0.000229,               0.000229,               0.000229
                     34,                0.58624,                0.82009,                0.82404,                0.97583,                0.63382,                0.98808,                0.70151,                 1.0132,                 1.7424,                 1.0218,             0.00021662,             0.00021662,             0.00021662
                     35,                0.59693,                0.86327,                0.83693,                0.98208,                0.63536,                0.98808,                0.69779,                 1.0401,                 1.9833,                 1.0323,             0.00020425,             0.00020425,             0.00020425
                     36,                0.57762,                0.86011,                0.82813,                0.98203,                0.68839,                0.98808,                0.70611,                0.96099,                 1.8545,                0.99184,             0.00019188,             0.00019188,             0.00019188
                     37,                0.57546,                0.84852,                0.82691,                0.97317,                0.75969,                0.99125,                0.70525,                0.93411,                 1.5588,                0.97635,              0.0001795,              0.0001795,              0.0001795
                     38,                0.57002,                0.81981,                0.82233,                0.97397,                0.70414,                  0.995,                 0.7097,                0.97022,                 1.6037,                0.99608,             0.00016713,             0.00016713,             0.00016713
                     39,                0.55034,                0.77279,                0.83221,                0.97464,                0.65596,                  0.995,                0.71866,                 0.9351,                 1.6148,                 1.0008,             0.00015475,             0.00015475,             0.00015475
                     40,                 0.5677,                0.81745,                0.82429,                0.97433,                0.60584,                0.99125,                0.72181,                0.97468,                 1.8074,                 1.0668,             0.00014237,             0.00014237,             0.00014237
                     41,                0.53347,                0.99355,                0.81311,                0.97572,                    0.5,                0.98536,                0.72749,                0.95904,                 1.7348,                 1.0211,                0.00013,                0.00013,                0.00013
                     42,                0.51187,                0.79405,                0.81556,                0.97471,                    0.5,                  0.995,                0.70671,                0.99572,                 1.7103,                 1.0046,             0.00011763,             0.00011763,             0.00011763
