                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.61311,                 1.2883,                0.84627,                0.95499,                0.92507,                0.96023,                0.84101,                0.55155,                0.64841,                0.82152,             0.00019188,             0.00019188,             0.00019188
                     37,                0.62765,                 1.1051,                0.85648,                  0.949,                 0.9287,                 0.9604,                0.84032,                0.55616,                0.66867,                0.82252,              0.0001795,              0.0001795,              0.0001795
                     38,                0.60616,                 1.0631,                0.84947,                0.95521,                0.90491,                0.96234,                0.84387,                0.55567,                0.63524,                0.82413,             0.00016713,             0.00016713,             0.00016713
                     39,                0.61804,                 1.0953,                0.84656,                 0.9679,                0.90512,                0.96551,                 0.8504,                0.54464,                0.61785,                0.82213,             0.00015475,             0.00015475,             0.00015475
                     40,                0.64204,                 1.1798,                0.86831,                0.91723,                0.93565,                0.96647,                0.85171,                0.52228,                0.66501,                0.81743,             0.00014237,             0.00014237,             0.00014237
                     41,                 0.5492,                 1.2008,                0.83215,                0.95222,                0.93727,                0.97429,                0.85995,                0.51991,                0.60191,                0.81546,                0.00013,                0.00013,                0.00013
                     42,                0.55933,                 1.0915,                 0.8371,                0.92649,                0.95095,                 0.9773,                0.85724,                0.53903,                0.60534,                0.81934,             0.00011763,             0.00011763,             0.00011763
                     43,                0.53294,                 1.0812,                 0.8269,                0.95616,                0.94002,                0.97793,                0.85849,                0.52454,                0.60543,                0.81737,             0.00010525,             0.00010525,             0.00010525
                     44,                0.54422,                  1.093,                0.83394,                0.97013,                0.94713,                0.98415,                0.87016,                0.51516,                0.56243,                0.81395,             9.2875e-05,             9.2875e-05,             9.2875e-05
                     45,                0.52298,                 1.0067,                0.82527,                0.96284,                0.94881,                0.98386,                0.87661,                0.51674,                0.54452,                0.81375,               8.05e-05,               8.05e-05,               8.05e-05
                     46,                0.51688,                 1.0577,                0.83643,                0.96316,                0.93697,                0.98077,                0.86816,                0.52781,                0.54107,                 0.8163,             6.8125e-05,             6.8125e-05,             6.8125e-05
                     47,                 0.5235,                0.97325,                0.83308,                0.96508,                 0.9437,                 0.9823,                 0.8705,                  0.521,                0.54625,                0.81507,              5.575e-05,              5.575e-05,              5.575e-05
                     48,                0.53679,                 1.0391,                0.83952,                0.97713,                0.94455,                0.98127,                0.87638,                0.51744,                0.52123,                0.81501,             4.3375e-05,             4.3375e-05,             4.3375e-05
                     49,                0.53503,                 1.1182,                0.83203,                0.96302,                0.95424,                0.98169,                0.87336,                0.51612,                0.51331,                0.81485,                3.1e-05,                3.1e-05,                3.1e-05
                     50,                0.51685,                 1.0088,                0.82638,                 0.9759,                0.95188,                0.98185,                0.87576,                0.51515,                0.51427,                0.81451,             1.8625e-05,             1.8625e-05,             1.8625e-05
