                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1105,                 4.8105,                 1.0411,                0.04086,                0.31079,                0.04494,                0.03906,                0.66982,                 3.6364,                0.82472,             0.00014375,             0.00014375,             0.00014375
                      2,                0.78608,                 3.7327,                0.92703,                0.04451,                0.73187,                0.16175,                0.12118,                 0.6582,                  3.638,                0.82723,             0.00028928,             0.00028928,             0.00028928
                      3,                0.75022,                 2.9626,                0.91041,                0.02756,                0.76899,                0.25049,                0.20599,                0.65224,                 3.4759,                0.82663,             0.00043023,             0.00043023,             0.00043023
                      4,                0.73188,                  2.612,                0.92217,                0.01653,                0.95853,                0.44372,                0.37467,                0.62044,                 3.0903,                0.85808,             0.00056662,             0.00056662,             0.00056662
                      5,                0.70293,                 2.0621,                0.91266,                0.89912,                0.24156,                0.60429,                0.51541,                0.61841,                 2.4913,                0.88497,             0.00058692,             0.00058692,             0.00058692
                      6,                0.64584,                  2.014,                0.90519,                 0.7849,                0.63316,                 0.8185,                 0.7016,                0.62573,                 1.6872,                0.92225,              0.0005774,              0.0005774,              0.0005774
                      7,                0.63274,                 1.6876,                0.89777,                0.75028,                0.87792,                0.87975,                 0.7635,                0.60542,                 1.1732,                0.90184,             0.00056788,             0.00056788,             0.00056788
                      8,                0.61402,                 1.5242,                0.89693,                0.84714,                0.87291,                0.92622,                0.80624,                0.56741,                0.84402,                0.89501,             0.00055837,             0.00055837,             0.00055837
                      9,                0.61113,                 1.3362,                 0.8948,                 0.9385,                0.94473,                0.96618,                0.85034,                0.54402,                0.63191,                0.87797,             0.00054885,             0.00054885,             0.00054885
                     10,                0.59878,                 1.3464,                 0.8871,                0.92163,                 0.9481,                0.97684,                0.85261,                0.56851,                0.61222,                0.89473,             0.00053933,             0.00053933,             0.00053933
                     11,                0.58378,                 1.1686,                0.87876,                0.96375,                0.94992,                0.98298,                0.87697,                0.52164,                0.56949,                0.87425,             0.00052981,             0.00052981,             0.00052981
                     12,                0.57098,                 1.1657,                0.87478,                 0.9557,                0.98033,                0.98065,                0.87306,                0.51592,                0.52895,                0.86883,             0.00052029,             0.00052029,             0.00052029
                     13,                0.55398,                 1.1531,                0.86888,                0.95551,                0.97048,                0.98461,                 0.8732,                0.52538,                0.50641,                0.87279,             0.00051077,             0.00051077,             0.00051077
                     14,                 0.5373,                  1.083,                 0.8709,                0.96356,                0.97761,                0.98427,                0.87933,                0.51204,                0.51475,                0.86649,             0.00050125,             0.00050125,             0.00050125
                     15,                0.54061,                 1.1431,                  0.878,                0.97827,                0.97954,                0.98913,                0.88906,                0.51436,                0.48392,                0.87507,             0.00049173,             0.00049173,             0.00049173
                     16,                0.52966,                0.94306,                0.86315,                0.97944,                0.98609,                0.98874,                0.88432,                0.51483,                  0.457,                0.86568,             0.00048221,             0.00048221,             0.00048221
