                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.1339,                 14.569,                 3.1742,                      0,                      0,                      0,                      0,                 3.8223,                 6.4657,                 3.1075,              4.287e-05,              4.287e-05,              4.287e-05
                      2,                 3.9889,                 16.868,                 2.9698,                      0,                      0,                      0,                      0,                 3.2046,                  6.274,                 2.8486,             9.6729e-05,             9.6729e-05,             9.6729e-05
                      3,                 2.9745,                 10.004,                 2.4214,                      0,                      0,                      0,                      0,                 2.5173,                 5.5947,                 2.4446,             0.00014682,             0.00014682,             0.00014682
                      4,                 2.6003,                 8.7748,                 1.9612,                      0,                      0,                      0,                      0,                 2.3978,                 5.2729,                 1.9027,             0.00019313,             0.00019313,             0.00019313
                      5,                  2.217,                 7.7632,                 1.6322,                      0,                      0,                      0,                      0,                 2.1973,                 5.0504,                 1.5989,             0.00023567,             0.00023567,             0.00023567
                      6,                 2.1302,                 7.0058,                 1.5178,                      0,                      0,                      0,                      0,                  2.029,                  4.702,                 1.4423,             0.00027444,             0.00027444,             0.00027444
                      7,                 1.8749,                 6.2872,                 1.3333,                0.00149,                0.22727,                0.00915,                0.00208,                  1.874,                 4.3577,                 1.2149,             0.00030944,             0.00030944,             0.00030944
                      8,                 1.7668,                 5.8153,                 1.2268,                 0.0247,                0.43939,                  0.086,                0.04595,                 1.8808,                 4.2832,                 1.1487,             0.00034066,             0.00034066,             0.00034066
                      9,                 1.6879,                 5.8059,                 1.1669,                0.02317,                    0.5,                0.19258,                0.11089,                 1.7291,                  4.118,                  1.053,             0.00036811,             0.00036811,             0.00036811
                     10,                 1.6706,                 5.4412,                 1.1501,                0.01505,                    0.5,                0.18677,                0.10799,                 1.6707,                 4.1362,                 1.0224,             0.00039179,             0.00039179,             0.00039179
                     11,                   1.61,                 5.4488,                 1.1455,                0.00939,                    0.5,                0.23393,                0.14855,                 1.4207,                 4.1528,                0.95862,             0.00041169,             0.00041169,             0.00041169
                     12,                  1.651,                 4.8335,                 1.1172,                0.00923,                    0.5,                0.21404,                0.14213,                 1.4646,                 4.0294,                0.96064,             0.00042783,             0.00042783,             0.00042783
                     13,                 1.6561,                 5.3219,                 1.1084,                0.00769,                0.48485,                0.20773,                0.14707,                 1.4231,                 4.0299,                0.95157,             0.00044019,             0.00044019,             0.00044019
                     14,                 1.4948,                 4.4283,                 1.0496,                0.00668,                0.48485,                0.21176,                0.13814,                   1.26,                  4.049,                 0.9269,             0.00044878,             0.00044878,             0.00044878
                     15,                 1.3697,                 4.4523,                 1.0319,                0.00632,                0.48485,                0.24592,                0.13759,                 1.2997,                 4.0493,                0.96182,             0.00045359,             0.00045359,             0.00045359
                     16,                 1.4245,                 4.2572,                 1.0745,                0.00667,                    0.5,                0.25237,                0.11556,                 1.3655,                 4.0919,                0.97954,             0.00045464,             0.00045464,             0.00045464
                     17,                 1.4741,                 4.2483,                 1.0501,                 0.0069,                    0.5,                0.24998,                0.12116,                 1.3099,                  4.033,                0.95483,             0.00045191,             0.00045191,             0.00045191
                     18,                 1.2887,                 4.1231,                0.99155,                0.00705,                    0.5,                0.27087,                0.15409,                 1.4888,                 3.9401,                0.96565,             0.00044541,             0.00044541,             0.00044541
                     19,                 1.2694,                  4.154,                0.96386,                0.00697,                    0.5,                0.27515,                0.16668,                 1.4565,                 3.9109,                 0.9548,             0.00043513,             0.00043513,             0.00043513
                     20,                 1.2328,                 3.8671,                0.99361,                0.00689,                    0.5,                0.25884,                0.17871,                 1.2321,                 3.8035,                0.90609,             0.00042108,             0.00042108,             0.00042108
                     21,                 1.3288,                  5.416,                 1.0144,                0.00668,                    0.5,                0.27433,                0.19116,                 1.1976,                 3.6398,                0.89764,             0.00040326,             0.00040326,             0.00040326
                     22,                 1.1984,                 5.4525,                0.97518,                0.00644,                    0.5,                 0.2761,                0.20691,                 1.1747,                 3.5838,                0.88186,             0.00038167,             0.00038167,             0.00038167
                     23,                 1.3336,                 6.0374,                 1.0082,                0.00614,                    0.5,                0.28434,                0.22591,                 1.0693,                 3.5387,                0.86029,             0.00035631,             0.00035631,             0.00035631
                     24,                 1.1455,                 5.3891,                0.94711,                0.00684,                0.59091,                0.29554,                0.23157,                  1.019,                 3.4401,                0.84804,             0.00032717,             0.00032717,             0.00032717
                     25,                 1.1748,                 4.8512,                0.95105,                0.00834,                0.74242,                  0.328,                0.25308,                 1.0098,                 3.3498,                0.84103,             0.00029426,             0.00029426,             0.00029426
                     26,                 1.0954,                 4.7776,                 0.9444,                0.00873,                0.78788,                0.36845,                0.27602,                0.96941,                 3.2604,                0.83422,             0.00025007,             0.00025007,             0.00025007
                     27,                0.99229,                 4.9879,                0.91409,                0.48532,                 0.4697,                0.38556,                0.28875,                0.92092,                 3.1535,                0.82938,             0.00020292,             0.00020292,             0.00020292
                     28,                 1.0498,                 4.6876,                0.93137,                0.66304,                0.30303,                0.40647,                0.30584,                0.88884,                 3.0477,                0.82717,             0.00015576,             0.00015576,             0.00015576
                     29,                 1.0566,                 4.9973,                0.92929,                0.67224,                0.29727,                0.43732,                 0.3272,                0.86639,                 2.9484,                0.82554,              0.0001086,              0.0001086,              0.0001086
                     30,                 1.0502,                 4.5768,                0.93109,                0.67513,                  0.301,                0.45242,                 0.3391,                0.85047,                 2.8519,                0.82311,             6.1447e-05,             6.1447e-05,             6.1447e-05
