epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.85473,2.35454,8.72068,2.41111,0.00326,0.77778,0.00405,0.00071,3.60634,5.90848,2.9673,2.858e-05,2.858e-05,2.858e-05
2,17.9241,2.37311,9.48953,2.45959,0.00033,0.33333,0.00072,0.00016,3.40408,5.77755,2.82478,7.04395e-05,7.04395e-05,7.04395e-05
3,25.6708,1.7514,7.44081,1.85141,0.00431,0.66667,0.04775,0.02274,1.13131,4.22069,1.41683,0.000111086,0.000111086,0.000111086
4,33.4295,1.05815,6.48737,1.07378,0.00407,0.66667,0.06177,0.03277,0.91332,3.94734,1.20254,0.000150521,0.000150521,0.000150521
5,41.1712,0.91502,5.90239,0.96959,0.05342,1,0.45706,0.29946,1.02885,4.0213,1.26735,0.000188742,0.000188742,0.000188742
6,49.0874,0.79706,7.66912,0.89206,0.02849,1,0.46989,0.31458,0.92862,4.02799,1.23353,0.000225751,0.000225751,0.000225751
7,57.2323,0.96224,6.13019,0.91452,0.02835,1,0.5417,0.45353,0.74935,3.87405,1.14332,0.000261548,0.000261548,0.000261548
8,64.8698,0.76517,6.35434,0.91555,0.03594,1,0.49017,0.40695,0.74029,3.86709,1.1182,0.000296132,0.000296132,0.000296132
9,73.0046,0.81868,5.91304,0.88218,0.05202,1,0.645,0.53878,0.68872,3.86212,1.08605,0.000329503,0.000329503,0.000329503
10,80.6485,0.83756,6.50473,0.96069,0.04732,1,0.63822,0.53523,0.68299,3.85345,1.09123,0.000361662,0.000361662,0.000361662
11,88.4736,0.82085,5.51458,0.9172,0.06024,1,0.55651,0.45765,0.69652,3.8849,1.0916,0.000392608,0.000392608,0.000392608
12,96.029,0.76981,5.72764,0.93821,0.04684,1,0.61529,0.48996,0.68443,3.82399,1.09222,0.000422341,0.000422341,0.000422341
13,103.764,0.68781,5.53285,0.85761,0.03272,1,0.565,0.43748,0.74373,3.88015,1.07923,0.000450862,0.000450862,0.000450862
14,110.97,0.79218,4.86093,0.87059,0.01723,1,0.50458,0.39756,0.70598,3.8671,1.09588,0.00047817,0.00047817,0.00047817
15,118.624,0.85066,5.29516,0.9347,0.01076,1,0.51188,0.38233,0.77409,3.87107,1.11163,0.000504266,0.000504266,0.000504266
16,125.657,0.71554,5.74462,0.89404,0.00969,1,0.4841,0.37792,0.70382,3.86991,1.08576,0.000529148,0.000529148,0.000529148
17,133.236,0.70904,6.70527,0.8902,0.00803,1,0.50434,0.40268,0.71362,3.87919,1.09432,0.000552819,0.000552819,0.000552819
18,139.994,0.84822,5.07817,0.87751,0.00699,1,0.61545,0.47294,0.68935,3.86376,1.09545,0.000575277,0.000575277,0.000575277
19,146.948,0.70971,4.94566,0.86412,0.00639,1,0.64845,0.49678,0.66466,3.81089,1.10029,0.000596522,0.000596522,0.000596522
20,154.29,0.73184,5.12945,0.8499,0.0061,1,0.59512,0.49802,0.64937,3.80492,1.09134,0.000616554,0.000616554,0.000616554
21,161.206,0.69978,4.33195,0.81368,0.00592,1,0.64817,0.53508,0.65315,3.77268,1.09756,0.000635374,0.000635374,0.000635374
