epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,152.52,3.74592,8.90957,3.29598,0,0,0,0,2.33415,4.97761,2.6671,0.00012861,0.00012861,0.00012861
2,283.79,1.67508,5.29435,1.51514,0.0006,0.08696,0.00066,0.00016,1.62529,3.98978,1.33757,0.000266134,0.000266134,0.000266134
3,403.91,1.20286,3.92648,1.09996,0.02227,0.88406,0.67221,0.45587,1.14783,3.50567,0.91235,0.000397999,0.000397999,0.000397999
4,514.242,1.01415,2.71711,1.05446,0.0109,0.92754,0.6816,0.49131,0.97001,3.513,0.8948,0.000524206,0.000524206,0.000524206
5,606.28,0.92872,2.38492,0.98213,0.01307,0.97101,0.58296,0.40339,0.96034,3.69193,0.96108,0.000644753,0.000644753,0.000644753
6,712.375,0.85563,2.03371,0.97725,0.01366,1,0.74826,0.59495,0.68348,3.54167,0.84197,0.000759642,0.000759642,0.000759642
7,830.77,0.78155,1.79917,0.95668,0.01268,1,0.995,0.81286,0.63733,3.09582,0.75964,0.000868872,0.000868872,0.000868872
8,940.001,0.77889,1.87809,0.9264,0.0119,1,0.99423,0.82282,0.69063,2.94344,0.77901,0.000972443,0.000972443,0.000972443
9,1048.56,0.71876,1.64271,0.90461,0.99643,0.50791,0.995,0.82828,0.68864,2.6658,0.76013,0.00107036,0.00107036,0.00107036
10,1138.54,0.67286,1.51555,0.89395,0.99314,0.67768,0.995,0.86818,0.57681,2.2126,0.72801,0.00116261,0.00116261,0.00116261
11,1229.87,0.65235,1.4748,0.88916,0.98853,0.66667,0.995,0.84546,0.64902,2.01831,0.75203,0.00114606,0.00114606,0.00114606
12,1341.77,0.57469,1.39129,0.86982,0.98486,1,0.995,0.87797,0.54623,1.58567,0.74324,0.00111776,0.00111776,0.00111776
13,1460.86,0.54269,1.3201,0.86481,0.98594,1,0.995,0.85111,0.57271,1.42095,0.75493,0.00108947,0.00108947,0.00108947
14,1567.17,0.49525,1.17823,0.83726,0.98996,1,0.995,0.91453,0.50858,1.19097,0.75889,0.00106118,0.00106118,0.00106118
15,1680.98,0.5067,1.20733,0.84517,0.99245,1,0.995,0.91208,0.4174,1.14191,0.75081,0.00103288,0.00103288,0.00103288
16,1795.75,0.48891,1.15458,0.8309,0.98922,1,0.995,0.91747,0.42426,1.13483,0.76262,0.00100459,0.00100459,0.00100459
17,1908.5,0.46438,1.09063,0.83618,0.99519,1,0.995,0.90698,0.45395,0.81403,0.76466,0.000976293,0.000976293,0.000976293
18,2025.05,0.47749,1.05984,0.84363,0.99548,1,0.995,0.96032,0.3093,0.68608,0.73676,0.000947999,0.000947999,0.000947999
19,2089.94,0.43655,0.97858,0.82711,0.99782,1,0.995,0.91422,0.43168,0.64886,0.76043,0.000919704,0.000919704,0.000919704
20,2155.87,0.44078,0.99339,0.829,0.99686,1,0.995,0.91483,0.45317,0.66289,0.77201,0.00089141,0.00089141,0.00089141
21,2251.29,0.42177,0.93396,0.82971,0.99759,1,0.995,0.91956,0.38984,0.58274,0.75714,0.000863116,0.000863116,0.000863116
22,2367.46,0.4332,0.90385,0.83098,0.99765,1,0.995,0.92518,0.38335,0.53773,0.75375,0.000834822,0.000834822,0.000834822
23,2470,0.41763,0.88497,0.82209,0.99784,1,0.995,0.91843,0.40214,0.52038,0.75638,0.000806528,0.000806528,0.000806528
24,2577.31,0.36294,0.82059,0.8162,0.99827,1,0.995,0.95717,0.31987,0.42179,0.74871,0.000778233,0.000778233,0.000778233
25,2697.58,0.38612,0.80543,0.80969,0.99817,1,0.995,0.95016,0.35077,0.39204,0.75519,0.000749939,0.000749939,0.000749939
