                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4622,                 4.7875,                 1.0648,                      0,                      0,                      0,                      0,                0.75654,                 4.2952,                0.88182,              8.125e-05,              8.125e-05,              8.125e-05
                      2,                 1.0405,                 4.3029,                0.93113,                      0,                      0,                      0,                      0,                0.73897,                 4.2861,                0.86832,             0.00016689,             0.00016689,             0.00016689
                      3,                0.95991,                 3.8929,                0.90612,                0.02613,                0.38298,                0.06521,                0.04539,                0.78725,                 4.1399,                0.84166,             0.00025061,             0.00025061,             0.00025061
                      4,                  1.024,                 3.4265,                0.89863,                0.02302,                 0.5381,                  0.084,                0.04756,                0.81304,                 4.1355,                0.85433,             0.00033241,             0.00033241,             0.00033241
                      5,                0.97915,                 2.8507,                0.89633,                 0.0161,                0.50604,                0.08967,                0.04926,                0.79457,                 4.0297,                0.85165,             0.00041228,             0.00041228,             0.00041228
                      6,                0.95689,                  2.623,                0.89509,                0.01523,                0.59557,                0.12817,                0.08055,                0.74922,                 3.8401,                 0.8468,             0.00049022,             0.00049022,             0.00049022
                      7,                0.85892,                  2.261,                0.88846,                0.01644,                0.79996,                 0.3182,                0.23626,                0.73701,                 3.6408,                0.85154,             0.00056624,             0.00056624,             0.00056624
                      8,                0.85373,                 2.0764,                 0.8831,                0.01497,                0.99016,                 0.5008,                0.40056,                0.71177,                 3.1506,                0.85577,             0.00057688,             0.00057688,             0.00057688
                      9,                0.80297,                 1.9092,                0.86668,                0.89503,                0.11351,                0.59138,                0.49246,                0.72711,                  2.696,                0.85486,                0.00057,                0.00057,                0.00057
                     10,                0.77624,                 1.7264,                0.87389,                0.64113,                0.37979,                0.62723,                0.52421,                0.73472,                 2.2839,                0.85533,             0.00056313,             0.00056313,             0.00056313
                     11,                 0.7592,                  1.645,                0.86699,                0.63144,                 0.5756,                0.64573,                0.52234,                0.78348,                 1.9474,                0.87168,             0.00055625,             0.00055625,             0.00055625
