                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2682,                 4.7164,                 1.0083,                      0,                      0,                      0,                      0,                0.73298,                 4.2619,                0.86857,             0.00016875,             0.00016875,             0.00016875
                      2,                 1.0545,                 4.2464,                0.93671,                0.00117,                0.03148,                0.00212,                0.00043,                0.76042,                 4.2346,                0.87416,             0.00033694,             0.00033694,             0.00033694
                      3,                0.97719,                 3.6607,                0.91399,                0.00621,                0.18874,                0.04749,                0.02805,                0.76364,                 4.0952,                0.86766,             0.00049821,             0.00049821,             0.00049821
                      4,                0.98379,                 3.4817,                 0.9053,                0.00893,                 0.4814,                0.17177,                0.12822,                0.76881,                 3.8613,                0.86831,             0.00058787,             0.00058787,             0.00058787
                      5,                0.95893,                 3.1956,                0.92285,                 0.5484,                0.13972,                 0.3238,                0.25339,                 0.7663,                 2.9275,                0.87404,              0.0005755,              0.0005755,              0.0005755
                      6,                0.90055,                  2.642,                0.91357,                0.30327,                 0.5349,                0.40709,                0.33251,                0.78078,                 2.1592,                0.86649,             0.00056313,             0.00056313,             0.00056313
                      7,                0.89641,                 2.5494,                0.88506,                0.31893,                0.51805,                0.41372,                0.34103,                 0.7617,                  1.843,                0.87475,             0.00055075,             0.00055075,             0.00055075
                      8,                0.85949,                 2.3652,                0.88949,                0.34054,                0.66032,                0.46249,                0.38075,                0.75029,                 1.7961,                0.87203,             0.00053838,             0.00053838,             0.00053838
                      9,                 0.8483,                 2.3501,                0.88662,                0.42966,                0.67597,                0.55704,                0.45448,                0.78263,                 1.6852,                 0.8677,               0.000526,               0.000526,               0.000526
                     10,                 0.8067,                 2.3568,                0.87543,                0.46602,                0.59437,                0.57546,                0.47689,                0.76837,                 1.5579,                0.86984,             0.00051363,             0.00051363,             0.00051363
                     11,                0.82993,                 2.1088,                0.89869,                0.46363,                0.51888,                0.59077,                0.49461,                 0.7556,                 1.6035,                0.89617,             0.00050125,             0.00050125,             0.00050125
                     12,                0.76265,                 1.8908,                0.87393,                0.57491,                0.55826,                0.62507,                0.53214,                0.69161,                 1.4424,                0.87419,             0.00048888,             0.00048888,             0.00048888
                     13,                0.77432,                  1.851,                0.86834,                 0.5011,                0.71449,                0.68607,                0.57596,                0.71752,                 1.3765,                0.85977,              0.0004765,              0.0004765,              0.0004765
                     14,                0.74138,                 1.5309,                0.85641,                0.64222,                0.67626,                0.73121,                 0.6241,                0.64102,                 1.2577,                0.84956,             0.00046413,             0.00046413,             0.00046413
                     15,                0.71326,                 1.8354,                0.86699,                0.66929,                0.71594,                0.77726,                0.66536,                0.67852,                 1.2767,                0.87387,             0.00045175,             0.00045175,             0.00045175
                     16,                0.73045,                 1.5877,                0.85899,                0.75824,                0.64571,                0.77299,                0.66352,                0.70583,                 1.3362,                0.89744,             0.00043937,             0.00043937,             0.00043937
                     17,                0.70601,                 1.3988,                0.86278,                0.72783,                0.73321,                0.81639,                0.71536,                0.66902,                 1.1851,                0.87747,               0.000427,               0.000427,               0.000427
                     18,                0.71023,                 1.4828,                0.86303,                0.67074,                 0.8032,                0.81688,                0.71518,                0.65928,                 1.1463,                 0.8657,             0.00041462,             0.00041462,             0.00041462
                     19,                0.72895,                 1.5281,                0.86216,                 0.8066,                0.78951,                0.86009,                0.74696,                0.63503,                 1.0298,                0.85362,             0.00040225,             0.00040225,             0.00040225
                     20,                0.69113,                 1.3111,                0.85598,                0.72414,                0.86118,                0.86029,                0.74317,                0.62553,                0.95558,                0.84566,             0.00038988,             0.00038988,             0.00038988
                     21,                0.66091,                 1.1967,                0.84946,                0.75387,                0.82977,                0.86692,                0.75401,                0.62371,                0.98351,                0.84918,              0.0003775,              0.0003775,              0.0003775
                     22,                0.65649,                 1.1952,                 0.8498,                0.81701,                0.80634,                0.89526,                0.78677,                 0.6105,                 1.0067,                0.84828,             0.00036513,             0.00036513,             0.00036513
                     23,                0.65125,                 1.1687,                 0.8451,                 0.8075,                0.86071,                0.89955,                0.78348,                0.60827,                0.89869,                0.83993,             0.00035275,             0.00035275,             0.00035275
                     24,                0.64838,                 1.1542,                0.85252,                0.78751,                0.86507,                0.91381,                0.79022,                 0.6503,                0.90881,                0.84917,             0.00034038,             0.00034038,             0.00034038
                     25,                0.62322,                 1.0757,                0.84854,                0.88614,                0.82293,                0.92354,                0.80668,                0.60487,                0.83098,                0.84779,               0.000328,               0.000328,               0.000328
                     26,                0.62504,                 1.0916,                0.84923,                 0.8238,                0.90138,                0.92259,                0.81147,                0.59036,                0.78648,                0.84196,             0.00031562,             0.00031562,             0.00031562
                     27,                0.62298,                 1.0546,                0.85181,                0.82337,                0.88146,                0.90692,                0.78612,                0.57874,                0.76685,                0.83797,             0.00030325,             0.00030325,             0.00030325
                     28,                0.62971,                 1.0741,                 0.8512,                0.83101,                0.87554,                0.91088,                 0.7912,                0.59547,                0.78214,                0.84338,             0.00029088,             0.00029088,             0.00029088
                     29,                0.60918,                0.97803,                 0.8341,                0.82355,                0.87809,                0.91238,                0.80275,                0.58484,                0.76239,                 0.8355,              0.0002785,              0.0002785,              0.0002785
                     30,                0.63168,                 0.9944,                0.83926,                 0.8913,                0.90113,                0.93183,                0.81983,                0.57111,                 0.7212,                0.83422,             0.00026613,             0.00026613,             0.00026613
                     31,                0.61943,                 1.0089,                0.83326,                0.93571,                0.91431,                0.95206,                 0.8442,                  0.561,                  0.683,                0.83188,             0.00025375,             0.00025375,             0.00025375
                     32,                0.61617,                0.98493,                0.83627,                0.93098,                0.94292,                0.96237,                0.85098,                0.55916,                0.65933,                0.83131,             0.00024137,             0.00024137,             0.00024137
                     33,                0.61164,                 1.0392,                0.83911,                0.90194,                0.96436,                0.97411,                0.85935,                0.54788,                0.63599,                0.83042,               0.000229,               0.000229,               0.000229
                     34,                 0.5919,                0.92871,                0.83289,                0.90612,                0.95807,                0.97546,                0.86178,                0.53327,                0.61869,                0.82512,             0.00021662,             0.00021662,             0.00021662
                     35,                0.58619,                0.89105,                0.83903,                0.90308,                 0.9681,                0.97135,                0.86316,                0.56625,                0.62915,                0.83091,             0.00020425,             0.00020425,             0.00020425
                     36,                0.57899,                0.91458,                0.83275,                0.94927,                0.94822,                0.97425,                0.86197,                 0.5675,                0.60943,                0.83053,             0.00019188,             0.00019188,             0.00019188
                     37,                0.60278,                0.92012,                0.84932,                0.92138,                0.98434,                0.97342,                0.85277,                0.54678,                0.57884,                0.82893,              0.0001795,              0.0001795,              0.0001795
                     38,                0.58458,                0.92666,                0.83466,                0.93346,                0.98611,                0.97628,                0.86595,                 0.5423,                0.57057,                0.82675,             0.00016713,             0.00016713,             0.00016713
                     39,                0.59291,                0.91207,                0.83859,                0.95008,                0.97466,                0.98202,                 0.8721,                0.54334,                0.55195,                0.82457,             0.00015475,             0.00015475,             0.00015475
                     40,                0.55258,                0.85523,                0.83712,                0.94081,                0.97893,                 0.9819,                0.86838,                0.52992,                0.55992,                0.82191,             0.00014237,             0.00014237,             0.00014237
                     41,                0.52948,                0.96295,                 0.8292,                0.93569,                0.98565,                0.97959,                  0.866,                0.52073,                 0.5488,                0.82016,                0.00013,                0.00013,                0.00013
                     42,                0.53985,                0.93823,                0.83777,                0.92148,                0.97249,                 0.9787,                0.86384,                0.51822,                 0.5631,                0.82242,             0.00011763,             0.00011763,             0.00011763
                     43,                0.51793,                 0.9238,                0.83098,                0.93175,                 0.9854,                0.98034,                0.85387,                0.53629,                0.55115,                0.82505,             0.00010525,             0.00010525,             0.00010525
                     44,                0.52722,                0.84742,                0.84174,                0.93216,                0.97494,                0.97955,                0.86382,                0.51515,                0.55304,                0.82161,             9.2875e-05,             9.2875e-05,             9.2875e-05
                     45,                0.51692,                0.75063,                0.83015,                0.92462,                 0.9837,                0.98036,                0.87524,                0.50328,                 0.5468,                0.81891,               8.05e-05,               8.05e-05,               8.05e-05
                     46,                0.51608,                0.84612,                0.82522,                0.96044,                0.98162,                0.98257,                0.86626,                0.51439,                0.52708,                0.81843,             6.8125e-05,             6.8125e-05,             6.8125e-05
                     47,                0.50116,                0.80552,                0.83171,                 0.9671,                0.98426,                 0.9851,                0.88248,                0.50656,                0.50749,                0.81773,              5.575e-05,              5.575e-05,              5.575e-05
                     48,                0.51913,                0.88377,                0.82523,                0.96535,                0.98547,                0.98482,                0.88524,                0.50308,                0.50109,                0.81713,             4.3375e-05,             4.3375e-05,             4.3375e-05
                     49,                0.51741,                0.90121,                0.81153,                0.96847,                0.98381,                0.98516,                0.88416,                0.50235,                0.50368,                0.81551,                3.1e-05,                3.1e-05,                3.1e-05
                     50,                 0.5069,                0.83843,                0.82431,                0.96408,                0.98115,                0.98551,                0.88134,                0.50122,                0.51617,                0.81591,             1.8625e-05,             1.8625e-05,             1.8625e-05
