epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,38.4224,2.08696,13.8238,2.35274,0.00325,0.77778,0.00402,0.00091,3.6175,5.93544,2.97857,2.858e-05,2.858e-05,2.858e-05
2,47.2205,2.10296,12.5096,2.40529,0.00035,0.33333,0.00072,0.00013,3.59484,6.03996,2.97175,6.43764e-05,6.43764e-05,6.43764e-05
3,55.0686,2.18438,13.4408,2.25875,0.00032,0.33333,0.00078,0.00023,2.71991,5.12645,2.47536,9.16846e-05,9.16846e-05,9.16846e-05
4,62.9432,0.91965,9.20077,1.06906,0.00483,0.66667,0.22551,0.10735,1.00858,4.09058,1.39864,0.000110505,0.000110505,0.000110505
5,70.8386,0.77047,9.39469,0.95162,0.00395,0.66667,0.20138,0.11856,0.70551,3.89423,1.15212,0.000120836,0.000120836,0.000120836
6,78.5752,0.69031,9.59598,0.89069,0.07684,0.88889,0.39611,0.27606,0.74124,3.89795,1.12212,0.00012268,0.00012268,0.00012268
7,86.529,0.75602,10.3643,0.85884,0.08589,1,0.40667,0.29646,0.78415,3.89537,1.15225,0.000116035,0.000116035,0.000116035
8,94.2195,0.67265,9.00339,0.86267,0.07943,1,0.58796,0.46099,0.78016,3.92446,1.13342,0.000100902,0.000100902,0.000100902
9,102.162,0.74992,9.66212,0.87522,0.05502,1,0.58337,0.45705,0.75748,3.84622,1.12908,7.72803e-05,7.72803e-05,7.72803e-05
10,109.802,0.69405,9.88788,0.85868,0.06479,1,0.62479,0.50104,0.74611,3.83616,1.11187,4.51707e-05,4.51707e-05,4.51707e-05
