                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.57868,                0.82919,                0.83251,                0.88061,                0.95352,                0.96335,                0.85694,                0.53773,                0.58189,                0.82681,             0.00019188,             0.00019188,             0.00019188
                     37,                0.58982,                0.82904,                0.82673,                0.86524,                0.96511,                0.96355,                0.85755,                0.53067,                0.57121,                0.82617,              0.0001795,              0.0001795,              0.0001795
                     38,                0.56842,                0.80401,                0.83619,                0.93452,                0.97981,                0.97528,                0.86469,                0.53157,                0.54435,                0.82288,             0.00016713,             0.00016713,             0.00016713
                     39,                0.58237,                 0.8558,                 0.8282,                 0.9417,                0.97995,                0.97407,                0.85757,                0.53138,                0.53463,                0.82432,             0.00015475,             0.00015475,             0.00015475
                     40,                0.55778,                0.83399,                0.82182,                0.92261,                0.98442,                0.97384,                0.86751,                0.52252,                0.55919,                0.82136,             0.00014237,             0.00014237,             0.00014237
                     41,                0.53004,                0.78132,                0.82756,                0.95368,                0.95717,                0.97872,                0.86199,                0.56314,                0.57582,                0.82321,                0.00013,                0.00013,                0.00013
                     42,                0.52824,                0.74923,                0.83124,                0.96531,                0.96695,                0.97961,                0.87379,                0.51663,                0.56812,                0.81901,             0.00011763,             0.00011763,             0.00011763
                     43,                0.51948,                0.73559,                0.82992,                0.95771,                0.97966,                 0.9833,                0.88036,                0.51606,                0.55784,                0.81886,             0.00010525,             0.00010525,             0.00010525
                     44,                 0.5129,                0.76883,                0.82222,                0.97129,                0.98017,                0.98187,                0.88101,                0.50632,                0.51969,                0.81707,             9.2875e-05,             9.2875e-05,             9.2875e-05
                     45,                0.49197,                0.70397,                0.81975,                0.97303,                0.97988,                0.98177,                 0.8853,                0.49994,                0.51534,                0.81569,               8.05e-05,               8.05e-05,               8.05e-05
                     46,                0.50429,                0.74165,                0.81908,                0.96597,                 0.9838,                0.98181,                0.87682,                0.50415,                0.51591,                0.81611,             6.8125e-05,             6.8125e-05,             6.8125e-05
                     47,                0.48159,                0.69703,                0.81679,                0.96578,                0.98436,                0.98217,                 0.8774,                0.50151,                0.50655,                0.81583,              5.575e-05,              5.575e-05,              5.575e-05
                     48,                0.49944,                0.74935,                0.81698,                0.96517,                0.98541,                0.98226,                0.88668,                 0.4906,                0.49753,                0.81471,             4.3375e-05,             4.3375e-05,             4.3375e-05
                     49,                0.48489,                 0.6975,                0.81691,                0.96621,                0.98606,                0.98313,                0.88853,                0.48688,                0.49443,                0.81498,                3.1e-05,                3.1e-05,                3.1e-05
                     50,                0.48056,                 0.6757,                0.82062,                0.96587,                0.98603,                0.98272,                0.88745,                0.48721,                0.49189,                 0.8153,             1.8625e-05,             1.8625e-05,             1.8625e-05
