epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,17.196,4.93425,30.3136,2.48959,0,0,0,0,5.26976,11.4347,2.62875,1.429e-05,1.429e-05,1.429e-05
2,27.11,5.04389,36.9589,2.44719,0,0,0,0,5.32651,11.6835,2.65385,4.22637e-05,4.22637e-05,4.22637e-05
3,37.04,5.00798,32.0401,2.55518,0,0,0,0,5.33431,11.8193,2.6443,6.9429e-05,6.9429e-05,6.9429e-05
4,46.3781,4.85598,29.9719,2.35695,0,0,0,0,4.59792,8.87682,2.17317,9.57859e-05,9.57859e-05,9.57859e-05
5,55.2875,4.27446,18.0361,1.83584,0,0,0,0,3.88749,7.81272,1.79668,0.000121334,0.000121334,0.000121334
6,69.2691,3.81892,14.461,1.56754,0,0,0,0,3.16694,7.0453,1.47015,0.000146074,0.000146074,0.000146074
7,77.283,3.36487,13.1816,1.37653,0,0,0,0,3.27414,6.45208,1.38328,0.000170006,0.000170006,0.000170006
8,85.1811,2.92928,10.2581,1.2797,0,0,0,0,3.08167,5.91639,1.28846,0.000193129,0.000193129,0.000193129
9,93.0519,2.73912,9.24731,1.2309,0,0,0,0,2.77903,5.72069,1.21033,0.000215444,0.000215444,0.000215444
10,100.53,2.72055,8.81539,1.14223,0,0,0,0,2.57491,5.37701,1.15004,0.000236951,0.000236951,0.000236951
11,108.543,2.51985,8.66689,1.14324,0,0,0,0,2.41082,5.30391,1.08641,0.000257649,0.000257649,0.000257649
12,116.153,2.2568,7.92329,1.04004,0,0,0,0,2.29013,5.24114,1.04001,0.000277538,0.000277538,0.000277538
13,123.401,2.4981,8.3878,1.10575,0,0,0,0,2.18678,5.16305,1.02698,0.00029662,0.00029662,0.00029662
14,130.636,2.16404,7.00404,1.11068,0,0,0,0,2.11915,5.05256,1.00802,0.000314892,0.000314892,0.000314892
15,137.88,2.19161,6.70224,1.07291,0,0,0,0,2.06633,5.04874,0.99898,0.000332357,0.000332357,0.000332357
16,145.29,2.18608,6.49127,1.06127,0,0,0,0,1.99894,5.08975,0.98469,0.000349013,0.000349013,0.000349013
17,152.167,2.04207,5.44679,0.98709,0,0,0,0,2.11202,5.07538,1.00407,0.00036486,0.00036486,0.00036486
18,158.815,2.18204,6.62502,1.14993,0,0,0,0,1.87054,4.93615,0.97525,0.0003799,0.0003799,0.0003799
19,171.826,2.05947,5.77448,1.02795,0,0,0,0,1.66839,4.79438,0.95832,0.00039413,0.00039413,0.00039413
20,182.318,2.02165,6.14495,0.98438,0,0,0,0,1.70015,4.78098,0.96745,0.000407553,0.000407553,0.000407553
21,190.525,1.79018,5.77639,0.95667,0,0,0,0,1.81588,4.87724,0.99364,0.000420167,0.000420167,0.000420167
22,196.888,1.6673,5.98213,0.96862,0,0,0,0,1.82173,4.86106,0.99894,0.000431972,0.000431972,0.000431972
23,203.622,1.74531,6.07294,0.95066,0,0,0,0,1.9888,4.89157,1.01134,0.00044297,0.00044297,0.00044297
24,211.072,1.74341,5.57473,0.91601,0,0,0,0,2.07961,4.91193,1.03038,0.000453158,0.000453158,0.000453158
25,222.762,1.60752,4.85877,0.90649,0,0,0,0,2.04972,4.79001,1.01086,0.000462539,0.000462539,0.000462539
26,235.266,1.47441,5.18383,0.91998,0,0,0,0,1.92456,4.74439,0.9906,0.000471111,0.000471111,0.000471111
27,242.923,1.74268,5.16763,0.92589,0,0,0,0,1.58477,4.71244,0.93169,0.000478874,0.000478874,0.000478874
28,250.341,1.60516,4.90732,0.92086,0,0,0,0,1.58477,4.71244,0.93169,0.000485829,0.000485829,0.000485829
29,257.416,1.46617,4.6649,0.889,0,0,0,0,1.53495,4.61753,0.90613,0.000491976,0.000491976,0.000491976
30,265.711,1.49305,4.55254,0.89242,0,0,0,0,1.69306,4.54196,0.93768,0.000497314,0.000497314,0.000497314
31,277.269,1.50955,5.27434,0.89146,0,0,0,0,1.69306,4.54196,0.93768,0.000501844,0.000501844,0.000501844
32,323.537,1.50085,4.57525,0.89525,0,0,0,0,1.6196,4.50998,0.9249,0.000505566,0.000505566,0.000505566
33,385.689,1.33728,4.49422,0.85965,0,0,0,0,1.47556,4.44602,0.90971,0.000508479,0.000508479,0.000508479
34,440.888,1.57702,4.33918,0.90448,0,0,0,0,1.47556,4.44602,0.90971,0.000510584,0.000510584,0.000510584
35,479.618,1.55011,4.39688,0.88606,0,0,0,0,1.48989,4.43805,0.91592,0.00051188,0.00051188,0.00051188
36,529.629,1.50562,4.28278,0.89042,0.00075,0.15152,0.00406,0.00172,1.53126,4.39001,0.93467,0.000512368,0.000512368,0.000512368
37,543.72,1.42067,4.23271,0.89544,0.00075,0.15152,0.00406,0.00172,1.53126,4.39001,0.93467,0.000512047,0.000512047,0.000512047
38,557.403,1.48457,4.42989,0.90831,0.003,0.33333,0.15652,0.06027,1.81534,4.34579,0.98477,0.000510919,0.000510919,0.000510919
39,575.358,1.61501,3.96078,0.91967,0.0031,0.33333,0.13957,0.08343,1.78581,4.2018,0.97664,0.000508981,0.000508981,0.000508981
40,591.807,1.72926,4.54389,0.89418,0.0031,0.33333,0.13957,0.08343,1.78581,4.2018,0.97664,0.000506235,0.000506235,0.000506235
41,605.48,1.50815,4.22739,0.9159,0.0028,0.33333,0.08988,0.06052,1.4513,4.16929,0.91679,0.000502681,0.000502681,0.000502681
42,789.506,1.50741,4.03709,0.92428,0.00834,0.54545,0.08363,0.05261,1.45161,4.14398,0.92521,0.000498319,0.000498319,0.000498319
43,842.75,1.36611,3.97445,0.88958,0.00834,0.54545,0.08363,0.05261,1.45161,4.14398,0.92521,0.000493148,0.000493148,0.000493148
44,862.082,1.4453,4.17776,0.91126,0.01689,0.87879,0.22368,0.09488,1.74156,4.03952,0.9611,0.000487169,0.000487169,0.000487169
45,874.646,1.34138,3.77555,0.87185,0.01689,0.87879,0.22368,0.09488,1.74156,4.03952,0.9611,0.000480381,0.000480381,0.000480381
46,885.546,1.31078,3.6426,0.87375,0.01871,0.9697,0.42247,0.17038,1.76615,3.99582,0.95628,0.000472785,0.000472785,0.000472785
47,894.829,1.30763,3.68611,0.87401,0.01871,0.9697,0.42247,0.17038,1.76615,3.99582,0.95628,0.00046438,0.00046438,0.00046438
48,901.982,1.21916,3.70478,0.86377,0.01758,0.9697,0.68594,0.36758,1.46932,3.84715,0.91469,0.000455167,0.000455167,0.000455167
49,908.589,1.30988,3.3102,0.88368,0.01758,0.9697,0.68594,0.36758,1.46932,3.84715,0.91469,0.000445146,0.000445146,0.000445146
50,916.336,1.18272,3.46076,0.85276,0.01604,0.93939,0.74624,0.44899,1.5027,3.70772,0.91781,0.000434316,0.000434316,0.000434316
51,922.466,1.15458,3.33742,0.86941,0.01604,0.93939,0.74624,0.44899,1.5027,3.70772,0.91781,0.000418493,0.000418493,0.000418493
52,928.086,1.27525,3.24477,0.85459,0.01479,0.93939,0.83346,0.48728,1.65241,3.58974,0.94292,0.000398283,0.000398283,0.000398283
53,934.342,1.26771,3.49041,0.87667,0.01479,0.93939,0.83346,0.48728,1.65241,3.58974,0.94292,0.000378073,0.000378073,0.000378073
54,940.012,1.30481,3.39126,0.85678,0.01383,0.9697,0.95865,0.5522,1.71129,3.45579,0.94856,0.000357862,0.000357862,0.000357862
55,946.309,1.24136,3.17484,0.85338,0.01383,0.9697,0.95865,0.5522,1.71129,3.45579,0.94856,0.000337652,0.000337652,0.000337652
56,952.056,1.18958,3.08563,0.86287,0.01325,0.9697,0.96258,0.53463,1.78467,3.41349,0.96646,0.000317442,0.000317442,0.000317442
57,957.971,1.16848,3.10726,0.86108,0.01325,0.9697,0.96258,0.53463,1.78467,3.41349,0.96646,0.000297232,0.000297232,0.000297232
58,964.457,1.14662,3.1258,0.83148,0.01298,0.9697,0.96008,0.53398,1.55918,3.23285,0.943,0.000277022,0.000277022,0.000277022
59,970.543,1.19171,2.93645,0.85563,0.01298,0.9697,0.96008,0.53398,1.55918,3.23285,0.943,0.000256812,0.000256812,0.000256812
60,977.075,1.14211,3.0266,0.86492,0.9004,0.93939,0.9055,0.5708,1.33515,3.0689,0.90804,0.000236602,0.000236602,0.000236602
61,1013.32,1.34255,4.0148,0.89943,0.9004,0.93939,0.9055,0.5708,1.33515,3.0689,0.90804,0.000216391,0.000216391,0.000216391
62,1019.01,1.41648,4.32513,0.87521,0.9319,0.5613,0.91451,0.57368,1.30791,2.89225,0.90823,0.000196181,0.000196181,0.000196181
63,1024.61,1.34907,4.51037,0.9249,0.9319,0.5613,0.91451,0.57368,1.30791,2.89225,0.90823,0.000175971,0.000175971,0.000175971
64,1030.26,1.31162,4.84734,0.88763,0.95914,0.60903,0.95691,0.55353,1.36833,2.74647,0.91808,0.000155761,0.000155761,0.000155761
65,1035.4,1.22661,4.59939,0.88673,0.95914,0.60903,0.95691,0.55353,1.36833,2.74647,0.91808,0.000135551,0.000135551,0.000135551
66,1040.8,1.20257,5.04071,0.87152,0.95478,0.83951,0.95692,0.56769,1.39415,2.64037,0.92389,0.000115341,0.000115341,0.000115341
67,1046.07,1.24408,4.43177,0.8962,0.95478,0.83951,0.95692,0.56769,1.39415,2.64037,0.92389,9.51306e-05,9.51306e-05,9.51306e-05
68,1051.19,1.21314,4.50758,0.88034,0.948,0.9697,0.95965,0.57782,1.37191,2.53427,0.92297,7.49204e-05,7.49204e-05,7.49204e-05
69,1056.64,1.12474,4.43954,0.87077,0.948,0.9697,0.95965,0.57782,1.37191,2.53427,0.92297,5.47103e-05,5.47103e-05,5.47103e-05
70,1062.21,1.29111,5.11202,0.90328,0.93616,0.9697,0.95965,0.58703,1.33984,2.41724,0.92025,3.45001e-05,3.45001e-05,3.45001e-05
