epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,115.086,1.2416,4.8454,1.10536,0.02614,0.25548,0.04082,0.03481,0.61431,3.57921,0.82359,9.375e-05,9.375e-05,9.375e-05
2,215.061,0.81437,4.74992,0.96355,0.0587,0.71588,0.09036,0.07464,0.63676,3.53373,0.80862,0.00019101,0.00019101,0.00019101
3,310.24,0.76213,3.81163,0.94474,0.05301,0.83293,0.17497,0.14232,0.61881,3.49437,0.8082,0.000285441,0.000285441,0.000285441
4,409.432,0.73436,3.68127,0.94396,0.03801,0.80852,0.2612,0.21922,0.60791,3.44652,0.80811,0.000377044,0.000377044,0.000377044
5,495.726,0.72194,3.22163,0.93426,0.03034,0.88702,0.35311,0.30217,0.58354,3.24413,0.80647,0.000465818,0.000465818,0.000465818
6,586.315,0.68384,2.6475,0.91554,0.99379,0.08889,0.58762,0.49816,0.63027,2.80838,0.83576,0.000551763,0.000551763,0.000551763
7,686.846,0.65802,2.42678,0.90196,0.93915,0.26424,0.7467,0.64465,0.6026,2.40561,0.8546,0.000571964,0.000571964,0.000571964
8,780.586,0.64984,2.28056,0.90451,0.90355,0.50119,0.8085,0.69835,0.58782,2.03263,0.86402,0.000563125,0.000563125,0.000563125
9,868.814,0.64581,2.11467,0.90933,0.85765,0.72348,0.88347,0.74781,0.63784,1.70279,0.88647,0.000554286,0.000554286,0.000554286
10,967.532,0.62202,1.91801,0.88853,0.91192,0.84848,0.94335,0.81682,0.59621,1.15094,0.88369,0.000545446,0.000545446,0.000545446
11,1051.93,0.60847,1.77313,0.89203,0.91208,0.90365,0.95394,0.82455,0.58253,1.02878,0.89423,0.000536607,0.000536607,0.000536607
12,1146.13,0.59175,1.76087,0.90206,0.92051,0.9017,0.96371,0.83073,0.58735,0.82259,0.90321,0.000527768,0.000527768,0.000527768
13,1228.4,0.60081,1.64454,0.8971,0.93185,0.96089,0.9831,0.86224,0.54715,0.63438,0.88905,0.000518929,0.000518929,0.000518929
14,1311.31,0.54786,1.49947,0.86656,0.97117,0.95747,0.9838,0.87074,0.52395,0.56091,0.87543,0.000510089,0.000510089,0.000510089
15,1408.19,0.54967,1.30414,0.87157,0.96356,0.97142,0.9857,0.87143,0.52883,0.59293,0.87651,0.00050125,0.00050125,0.00050125
16,1502.99,0.55339,1.24441,0.86866,0.97819,0.9809,0.98755,0.87354,0.52666,0.49596,0.8854,0.000492411,0.000492411,0.000492411
17,1590.55,0.52273,1.1513,0.86579,0.98083,0.98,0.98571,0.87373,0.52765,0.51482,0.87829,0.000483571,0.000483571,0.000483571
18,1673.72,0.52115,1.34904,0.85758,0.96773,0.97816,0.98595,0.86234,0.56065,0.53378,0.87457,0.000474732,0.000474732,0.000474732
19,1761.63,0.51125,1.16006,0.85692,0.97669,0.96847,0.98584,0.87087,0.54382,0.48601,0.88162,0.000465893,0.000465893,0.000465893
20,1850.19,0.51172,1.1903,0.87012,0.9615,0.97645,0.98579,0.85901,0.60138,0.52394,0.88497,0.000457054,0.000457054,0.000457054
21,1944.2,0.53177,1.17156,0.87146,0.98102,0.98814,0.98582,0.87697,0.49719,0.44822,0.86444,0.000448214,0.000448214,0.000448214
22,2033.04,0.52146,1.10307,0.86285,0.98136,0.98496,0.98525,0.87036,0.51801,0.44807,0.87922,0.000439375,0.000439375,0.000439375
23,2126.52,0.50789,1.11122,0.85534,0.96923,0.9868,0.9843,0.86963,0.5027,0.44367,0.86996,0.000430536,0.000430536,0.000430536
24,2208.62,0.50722,1.01355,0.85372,0.96845,0.98555,0.98638,0.87519,0.50733,0.452,0.86489,0.000421696,0.000421696,0.000421696
25,2285.77,0.48951,0.92737,0.85385,0.97507,0.98356,0.98494,0.88522,0.48862,0.44252,0.86496,0.000412857,0.000412857,0.000412857
26,2372.81,0.48344,1.02868,0.84092,0.98334,0.98671,0.98429,0.87343,0.50365,0.44089,0.87221,0.000404018,0.000404018,0.000404018
27,2472.6,0.49168,1.09459,0.86238,0.98367,0.98864,0.98499,0.87723,0.49622,0.42542,0.8649,0.000395179,0.000395179,0.000395179
28,2567.69,0.47068,1.04212,0.84475,0.98515,0.98798,0.98495,0.88572,0.47333,0.40069,0.85948,0.000386339,0.000386339,0.000386339
29,2650.58,0.4765,1.03771,0.84528,0.98401,0.98082,0.98482,0.8825,0.4919,0.42558,0.86563,0.0003775,0.0003775,0.0003775
30,2741.78,0.47419,1.26676,0.85654,0.9827,0.98868,0.98331,0.88141,0.47738,0.4066,0.86344,0.000368661,0.000368661,0.000368661
31,2832.02,0.45591,1.13707,0.84253,0.98246,0.98619,0.98249,0.88224,0.47981,0.4061,0.87248,0.000359821,0.000359821,0.000359821
32,2922,0.474,0.94315,0.8451,0.9846,0.97746,0.98532,0.88271,0.4772,0.41469,0.86119,0.000350982,0.000350982,0.000350982
33,3012.23,0.46306,1.01435,0.84931,0.98501,0.98423,0.98508,0.8785,0.49141,0.4207,0.86598,0.000342143,0.000342143,0.000342143
34,3098.49,0.45807,0.96305,0.84309,0.98313,0.97878,0.98671,0.89004,0.47202,0.39148,0.86549,0.000333304,0.000333304,0.000333304
35,3193.6,0.45848,0.9084,0.84493,0.96698,0.98223,0.98377,0.88989,0.47622,0.42264,0.854,0.000324464,0.000324464,0.000324464
36,3289.6,0.43476,0.87659,0.837,0.97904,0.98487,0.98563,0.89322,0.46416,0.38903,0.85715,0.000315625,0.000315625,0.000315625
37,3412.58,0.42963,0.89134,0.83424,0.98095,0.98632,0.98519,0.8875,0.47671,0.40723,0.8623,0.000306786,0.000306786,0.000306786
38,3553.5,0.42987,0.84862,0.84127,0.98702,0.98613,0.98574,0.89088,0.46163,0.38183,0.86038,0.000297946,0.000297946,0.000297946
39,3663.61,0.44,0.91166,0.8388,0.98644,0.98369,0.98559,0.89282,0.46475,0.38792,0.85408,0.000289107,0.000289107,0.000289107
40,3771.29,0.42323,0.91937,0.83541,0.98613,0.98894,0.98628,0.89312,0.45796,0.36996,0.85294,0.000280268,0.000280268,0.000280268
41,3881.67,0.43264,0.8652,0.84097,0.98693,0.98824,0.98596,0.8934,0.4654,0.37538,0.86432,0.000271429,0.000271429,0.000271429
42,3981.62,0.43032,0.8456,0.82589,0.98669,0.98967,0.98552,0.88427,0.47049,0.37416,0.87004,0.000262589,0.000262589,0.000262589
43,4065.15,0.42551,0.79432,0.84009,0.98514,0.99001,0.98787,0.896,0.45978,0.36275,0.85756,0.00025375,0.00025375,0.00025375
