epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,118.58,1.16584,4.82695,1.06072,0.04029,0.66923,0.10267,0.08317,0.63464,3.65749,0.8267,0.00010564,0.00010564,0.00010564
2,231.843,0.75169,3.46464,0.91409,0.01942,0.82963,0.1775,0.1467,0.62147,3.30766,0.81771,0.000213773,0.000213773,0.000213773
3,358.482,0.71526,3.11221,0.89465,0.52517,0.29621,0.35137,0.29164,0.65718,2.71536,0.83132,0.000318761,0.000318761,0.000318761
4,481.839,0.68487,2.69133,0.89767,0.56606,0.28882,0.46368,0.39198,0.59557,2.42888,0.82959,0.000420604,0.000420604,0.000420604
5,598.181,0.65822,2.12111,0.87035,0.55394,0.5637,0.6602,0.56824,0.59027,1.88722,0.8264,0.000519301,0.000519301,0.000519301
6,710.288,0.63648,1.98505,0.8635,0.60081,0.77369,0.71805,0.61965,0.58431,1.39756,0.82773,0.000516683,0.000516683,0.000516683
7,816.075,0.62958,1.75281,0.86256,0.69051,0.84009,0.84721,0.74762,0.53804,1.00017,0.82048,0.000508819,0.000508819,0.000508819
8,912.895,0.60627,1.61097,0.86217,0.80685,0.88703,0.92074,0.80974,0.55517,0.76623,0.81781,0.000500956,0.000500956,0.000500956
9,1031.3,0.60238,1.64012,0.84888,0.92629,0.87407,0.95292,0.8395,0.53518,0.69943,0.82267,0.000493093,0.000493093,0.000493093
10,1146.7,0.58488,1.29634,0.85745,0.9409,0.95328,0.97304,0.86441,0.51245,0.56872,0.81981,0.000485229,0.000485229,0.000485229
11,1258.81,0.56907,1.34084,0.8481,0.94979,0.96234,0.98001,0.87071,0.5089,0.47823,0.82184,0.000477366,0.000477366,0.000477366
12,1358.07,0.54091,1.10548,0.84077,0.95921,0.97094,0.98499,0.8757,0.50694,0.4749,0.8214,0.000469502,0.000469502,0.000469502
13,1475.2,0.55345,1.08523,0.8392,0.97604,0.96046,0.98644,0.87877,0.49498,0.42516,0.82187,0.000461639,0.000461639,0.000461639
14,1605.6,0.52755,1.03341,0.83929,0.96741,0.9832,0.98753,0.87973,0.50247,0.45259,0.81966,0.000453775,0.000453775,0.000453775
15,1729.87,0.53602,1.08235,0.84725,0.96508,0.97539,0.98673,0.87962,0.4865,0.44563,0.82086,0.000445912,0.000445912,0.000445912
16,1852.66,0.5151,1.01741,0.83566,0.98067,0.98481,0.98638,0.88736,0.46781,0.42179,0.81141,0.000438049,0.000438049,0.000438049
17,1975.64,0.51802,1.03043,0.84039,0.9811,0.98425,0.98705,0.89117,0.46974,0.39653,0.81315,0.000430185,0.000430185,0.000430185
18,2102.61,0.49757,1.02067,0.84073,0.98021,0.98427,0.98741,0.89195,0.46095,0.38651,0.81687,0.000422322,0.000422322,0.000422322
19,2228.17,0.50309,0.82458,0.83227,0.98593,0.98576,0.98714,0.89761,0.44089,0.3836,0.8064,0.000414458,0.000414458,0.000414458
20,2338.95,0.49841,0.84517,0.83107,0.98206,0.98726,0.98863,0.90263,0.44178,0.37632,0.81047,0.000406595,0.000406595,0.000406595
21,2465.07,0.50153,0.84815,0.83951,0.98184,0.98479,0.9886,0.90364,0.42518,0.4048,0.8065,0.000398731,0.000398731,0.000398731
22,2577.1,0.49285,0.83403,0.83508,0.97287,0.98301,0.98756,0.89612,0.44617,0.37733,0.80991,0.000390868,0.000390868,0.000390868
23,2702.69,0.48889,0.75358,0.83327,0.97576,0.98638,0.98769,0.89435,0.45868,0.3661,0.81083,0.000383005,0.000383005,0.000383005
24,2824.53,0.45952,0.74354,0.82395,0.98772,0.98192,0.9877,0.90169,0.43422,0.34526,0.80738,0.000375141,0.000375141,0.000375141
25,2922.8,0.45856,0.76234,0.82805,0.9827,0.98603,0.98962,0.90727,0.42101,0.33813,0.80533,0.000367278,0.000367278,0.000367278
26,3026.63,0.45521,0.78436,0.82469,0.98868,0.98374,0.98937,0.91275,0.41963,0.3399,0.80641,0.000359414,0.000359414,0.000359414
27,3138.23,0.45658,0.79097,0.83001,0.99124,0.98692,0.98727,0.90236,0.42918,0.33553,0.81007,0.000351551,0.000351551,0.000351551
