epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,5143.8,0.48541,0.48595,0.83281,0.98876,0.98536,0.99181,0.89917,0.46219,0.32779,0.83032,0.000233599,0.000233599,0.000233599
43,5263.81,0.46426,0.47576,0.83101,0.99074,0.98789,0.99221,0.89604,0.47388,0.31295,0.83555,0.000225736,0.000225736,0.000225736
44,5375.12,0.45315,0.49046,0.83187,0.9896,0.98345,0.99268,0.90446,0.46865,0.31861,0.83197,0.000217873,0.000217873,0.000217873
45,5509.69,0.46613,0.48733,0.82683,0.98636,0.98316,0.9922,0.89986,0.4667,0.31838,0.83021,0.000210009,0.000210009,0.000210009
46,5634.48,0.4767,0.46759,0.82911,0.99317,0.98778,0.99146,0.90031,0.46723,0.30776,0.83367,0.000202146,0.000202146,0.000202146
47,5756.16,0.46902,0.47722,0.83589,0.99335,0.9878,0.99123,0.89776,0.47903,0.30632,0.84116,0.000194282,0.000194282,0.000194282
48,5894.13,0.46211,0.48555,0.83403,0.99389,0.98806,0.99122,0.89805,0.47344,0.307,0.83667,0.000186419,0.000186419,0.000186419
49,6007.6,0.45038,0.46448,0.82885,0.99103,0.98377,0.99099,0.89921,0.45989,0.30177,0.83234,0.000178555,0.000178555,0.000178555
50,6141.92,0.46473,0.46492,0.82831,0.99464,0.98238,0.99141,0.89808,0.45852,0.29946,0.83327,0.000170692,0.000170692,0.000170692
51,6267.36,0.45843,0.44904,0.83168,0.9909,0.98865,0.99145,0.90388,0.4514,0.29697,0.83223,0.000162829,0.000162829,0.000162829
52,6395,0.46178,0.46635,0.83124,0.99166,0.98817,0.9915,0.89935,0.46702,0.30471,0.83778,0.000154965,0.000154965,0.000154965
53,6520.08,0.4593,0.46557,0.8313,0.98981,0.99087,0.99171,0.89524,0.47826,0.30015,0.84074,0.000147102,0.000147102,0.000147102
54,6637.83,0.45535,0.43308,0.8313,0.99459,0.98555,0.99193,0.9064,0.44644,0.2911,0.83066,0.000139238,0.000139238,0.000139238
55,6772.41,0.44476,0.43893,0.82872,0.99061,0.98913,0.9916,0.90671,0.44462,0.291,0.8299,0.000131375,0.000131375,0.000131375
56,6886.8,0.44259,0.42833,0.82965,0.99439,0.98565,0.99137,0.90396,0.45365,0.29203,0.83186,0.000123511,0.000123511,0.000123511
57,6989.87,0.44549,0.44427,0.83215,0.99324,0.98385,0.99084,0.91007,0.44338,0.28621,0.82966,0.000115648,0.000115648,0.000115648
58,7117.67,0.4435,0.42072,0.82441,0.98795,0.98894,0.99109,0.91044,0.44473,0.28582,0.82954,0.000107785,0.000107785,0.000107785
59,7227.67,0.4353,0.42924,0.82411,0.99104,0.9875,0.99176,0.90786,0.44865,0.28459,0.8326,9.99211e-05,9.99211e-05,9.99211e-05
60,7336.56,0.44318,0.41604,0.82731,0.99378,0.98347,0.99166,0.90891,0.44313,0.28246,0.82887,9.20577e-05,9.20577e-05,9.20577e-05
61,7501.21,0.43072,0.47209,0.82485,0.99139,0.97908,0.99102,0.90593,0.44595,0.28918,0.82545,8.41943e-05,8.41943e-05,8.41943e-05
62,7604.15,0.41396,0.45897,0.81665,0.99301,0.98229,0.991,0.90574,0.4429,0.28407,0.82477,7.63309e-05,7.63309e-05,7.63309e-05
63,7702.52,0.41347,0.48339,0.81785,0.99439,0.98335,0.99156,0.90951,0.44392,0.28601,0.82703,6.84674e-05,6.84674e-05,6.84674e-05
64,7803.32,0.41028,0.44154,0.81756,0.9939,0.9834,0.99141,0.90559,0.45012,0.28117,0.83034,6.0604e-05,6.0604e-05,6.0604e-05
65,7906.44,0.40859,0.4393,0.81535,0.9941,0.98494,0.99188,0.91123,0.43926,0.28065,0.82542,5.27406e-05,5.27406e-05,5.27406e-05
66,8007.79,0.40268,0.43089,0.81801,0.994,0.98506,0.99195,0.91233,0.44201,0.28117,0.82501,4.48771e-05,4.48771e-05,4.48771e-05
67,8085.47,0.40387,0.45274,0.81761,0.99401,0.98464,0.99206,0.91029,0.44636,0.27917,0.82735,3.70137e-05,3.70137e-05,3.70137e-05
68,8181.38,0.39222,0.41315,0.81707,0.99406,0.98461,0.99174,0.91184,0.4421,0.27734,0.82722,2.91503e-05,2.91503e-05,2.91503e-05
69,8276.91,0.39123,0.42919,0.80847,0.99459,0.98462,0.99144,0.90988,0.44254,0.27709,0.82702,2.12869e-05,2.12869e-05,2.12869e-05
70,8366.52,0.39419,0.47048,0.81203,0.99461,0.98462,0.99125,0.91126,0.43831,0.27557,0.82622,1.34234e-05,1.34234e-05,1.34234e-05
